LG G3	/phones/LG-G3_id8347
Samsung Galaxy Note 4	/phones/Samsung-Galaxy-Note-4_id8577
Samsung Galaxy S6	/phones/Samsung-Galaxy-S6_id8997
Huawei Mate 8	/phones/Huawei-Mate-8_id9766
Xiaomi Redmi Note 3	/phones/Xiaomi-Redmi-Note-3_id9803
Samsung Galaxy Note 3	/phones/Samsung-Galaxy-Note-3_id7984
Samsung Galaxy Note 5	/phones/Samsung-Galaxy-Note-5_id9462
Samsung Galaxy S4	/phones/Samsung-Galaxy-S4_id7597
LG G2	/phones/LG-G2_id7969
Apple iPhone 6	/phones/Apple-iPhone-6_id8346
Google Nexus 6	/phones/Google-Nexus-6_id8626
Google Nexus 5X	/phones/Google-Nexus-5X_id9593
Samsung Galaxy S III	/phones/Samsung-Galaxy-S-III_id6330
Samsung Galaxy S6 edge	/phones/Samsung-Galaxy-S6-edge_id9193
Sony Xperia Z5 Premium	/phones/Sony-Xperia-Z5-Premium_id9612
HTC One (M8)	/phones/HTC-One-M8_id8242
Microsoft Lumia 950	/phones/Microsoft-Lumia-950_id9544
Sony Xperia Z2	/phones/Sony-Xperia-Z2_id8323
Sony Xperia Z3	/phones/Sony-Xperia-Z3_id8764
Samsung Galaxy S6 edge+	/phones/Samsung-Galaxy-S6-edge_id9524
OnePlus X	/phones/OnePlus-X_id9781
HTC One A9	/phones/HTC-One-A9_id9733
Apple iPhone 5	/phones/Apple-iPhone-5_id7378
Samsung Galaxy A8	/phones/Samsung-Galaxy-A8_id9355
Apple iPhone 5s	/phones/Apple-iPhone-5s_id7710
LG G3	/phones/LG-G3_id8347
Samsung Galaxy Note 4	/phones/Samsung-Galaxy-Note-4_id8577
Samsung Galaxy S6	/phones/Samsung-Galaxy-S6_id8997
Huawei Mate 8	/phones/Huawei-Mate-8_id9766
Xiaomi Redmi Note 3	/phones/Xiaomi-Redmi-Note-3_id9803
Samsung Galaxy Note 3	/phones/Samsung-Galaxy-Note-3_id7984
Samsung Galaxy Note 5	/phones/Samsung-Galaxy-Note-5_id9462
Samsung Galaxy S4	/phones/Samsung-Galaxy-S4_id7597
LG G2	/phones/LG-G2_id7969
Apple iPhone 6	/phones/Apple-iPhone-6_id8346
Google Nexus 6	/phones/Google-Nexus-6_id8626
Google Nexus 5X	/phones/Google-Nexus-5X_id9593
Samsung Galaxy S III	/phones/Samsung-Galaxy-S-III_id6330
Samsung Galaxy S6 edge	/phones/Samsung-Galaxy-S6-edge_id9193
Sony Xperia Z5 Premium	/phones/Sony-Xperia-Z5-Premium_id9612
HTC One (M8)	/phones/HTC-One-M8_id8242
Microsoft Lumia 950	/phones/Microsoft-Lumia-950_id9544
Sony Xperia Z2	/phones/Sony-Xperia-Z2_id8323
Sony Xperia Z3	/phones/Sony-Xperia-Z3_id8764
Samsung Galaxy S6 edge+	/phones/Samsung-Galaxy-S6-edge_id9524
OnePlus X	/phones/OnePlus-X_id9781
HTC One A9	/phones/HTC-One-A9_id9733
Apple iPhone 5	/phones/Apple-iPhone-5_id7378
Samsung Galaxy A8	/phones/Samsung-Galaxy-A8_id9355
Apple iPhone 5s	/phones/Apple-iPhone-5s_id7710
LG G3	/phones/LG-G3_id8347
Samsung Galaxy Note 4	/phones/Samsung-Galaxy-Note-4_id8577
Samsung Galaxy S6	/phones/Samsung-Galaxy-S6_id8997
Huawei Mate 8	/phones/Huawei-Mate-8_id9766
Xiaomi Redmi Note 3	/phones/Xiaomi-Redmi-Note-3_id9803
Samsung Galaxy Note 3	/phones/Samsung-Galaxy-Note-3_id7984
Samsung Galaxy Note 5	/phones/Samsung-Galaxy-Note-5_id9462
Samsung Galaxy S4	/phones/Samsung-Galaxy-S4_id7597
LG G2	/phones/LG-G2_id7969
Apple iPhone 6	/phones/Apple-iPhone-6_id8346
Google Nexus 6	/phones/Google-Nexus-6_id8626
Google Nexus 5X	/phones/Google-Nexus-5X_id9593
Samsung Galaxy S III	/phones/Samsung-Galaxy-S-III_id6330
Samsung Galaxy S6 edge	/phones/Samsung-Galaxy-S6-edge_id9193
Sony Xperia Z5 Premium	/phones/Sony-Xperia-Z5-Premium_id9612
HTC One (M8)	/phones/HTC-One-M8_id8242
Microsoft Lumia 950	/phones/Microsoft-Lumia-950_id9544
Sony Xperia Z2	/phones/Sony-Xperia-Z2_id8323
Sony Xperia Z3	/phones/Sony-Xperia-Z3_id8764
Samsung Galaxy S6 edge+	/phones/Samsung-Galaxy-S6-edge_id9524
OnePlus X	/phones/OnePlus-X_id9781
HTC One A9	/phones/HTC-One-A9_id9733
Apple iPhone 5	/phones/Apple-iPhone-5_id7378
Samsung Galaxy A8	/phones/Samsung-Galaxy-A8_id9355
Apple iPhone 5s	/phones/Apple-iPhone-5s_id7710
